driverId,raceId,constructorId,date,age,grid,rank,statusID,positionOrder,points_modified
642,833,51,5/13/1950,43,1,10,1,1,25
786,833,51,5/13/1950,49,2,10,1,2,18
686,833,51,5/13/1950,38,4,10,1,3,15
704,833,154,5/13/1950,45,6,10,1,4,12
627,833,154,5/13/1950,44,9,10,1,5,10
619,833,151,5/13/1950,36,13,10,1,6,8
787,833,151,5/13/1950,43,15,10,1,7,6
741,833,154,5/13/1950,49,14,10,1,8,4
784,833,105,5/13/1950,32,16,10,1,9,2
778,833,105,5/13/1950,35,20,10,1,10,1
660,833,154,5/13/1950,33,21,10,1,11,0
579,833,51,5/13/1950,38,3,10,1,12,0
669,834,105,5/21/1950,35,15,10,1,5,10
619,834,151,5/21/1950,36,16,10,1,6,8
660,834,154,5/21/1950,33,19,10,1,7,6
633,834,6,5/21/1950,41,6,10,1,8,4
741,834,154,5/21/1950,49,4,10,1,9,2
498,834,105,5/21/1950,27,3,10,1,10,1
642,834,51,5/21/1950,43,2,10,1,11,0
786,834,51,5/21/1950,49,5,10,1,12,0
627,834,154,5/21/1950,44,10,10,1,13,0
626,834,141,5/21/1950,33,11,10,1,14,0
640,834,105,5/21/1950,36,12,10,1,15,0
427,834,141,5/21/1950,32,13,10,1,16,0
787,834,151,5/21/1950,43,14,10,1,17,0
762,834,105,5/21/1950,41,17,10,2,18,0
501,834,87,5/21/1950,28,20,10,1,19,0
687,834,6,5/21/1950,35,21,10,1,20,0
792,834,105,5/21/1950,37,18,10,1,21,0
593,835,113,5/30/1950,31,5,10,1,1,25
701,835,150,5/30/1950,42,10,10,1,2,18
768,835,150,5/30/1950,44,3,10,1,3,15
770,835,113,5/30/1950,30,12,10,1,4,12
794,835,113,5/30/1950,38,9,10,1,5,10
766,835,119,5/30/1950,39,23,10,1,6,8
654,835,113,5/30/1950,30,1,10,1,7,6
726,835,110,5/30/1950,43,4,10,1,8,4
555,835,138,5/30/1950,36,19,10,1,9,2
559,835,113,5/30/1950,24,11,10,1,10,1
795,835,156,5/30/1950,37,16,10,1,11,0
518,835,129,5/30/1950,37,13,10,2,12,0
772,835,113,5/30/1950,34,26,10,2,13,0
658,835,113,5/30/1950,30,6,10,3,14,0
526,835,110,5/30/1950,20,24,10,3,15,0
520,835,157,5/30/1950,24,31,10,3,16,0
653,835,116,5/30/1950,20,27,10,3,17,0
732,835,113,5/30/1950,35,33,10,1,18,0
771,835,113,5/30/1950,38,20,10,1,19,0
677,835,105,5/30/1950,39,14,10,1,20,0
659,835,113,5/30/1950,21,15,10,1,21,0
796,835,158,5/30/1950,36,29,10,1,22,0
797,835,159,5/30/1950,29,30,10,1,23,0
509,835,160,5/30/1950,21,28,10,1,24,0
731,835,105,5/30/1950,36,21,10,1,25,0
729,835,162,5/30/1950,41,22,10,1,26,0
798,835,161,5/30/1950,36,17,10,1,27,0
615,835,113,5/30/1950,36,2,10,1,28,0
799,835,113,5/30/1950,39,32,10,1,29,0
611,835,113,5/30/1950,35,25,10,1,30,0
529,835,150,5/30/1950,33,8,10,1,31,0
537,835,107,5/30/1950,26,18,10,3,32,0
630,835,113,5/30/1950,37,7,10,3,33,0
